class,precision,recall,f1-score,support
acerolas,0.0,0.0,0.0,5.0
apples,0.0,0.0,0.0,3.0
apricots,0.0,0.0,0.0,4.0
avocados,0.4,0.6666666666666666,0.5,3.0
bananas,0.2727272727272727,1.0,0.42857142857142855,3.0
blackberries,0.5,0.5,0.5,2.0
blueberries,0.5,0.5,0.5,2.0
cantaloupes,1.0,0.6666666666666666,0.8,6.0
cherries,1.0,0.8333333333333334,0.9090909090909091,6.0
coconuts,1.0,1.0,1.0,5.0
figs,0.75,0.6,0.6666666666666666,5.0
grapefruits,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
grapes,1.0,0.42857142857142855,0.6,7.0
guava,0.5,0.8333333333333334,0.625,6.0
kiwifruit,1.0,1.0,1.0,6.0
lemons,0.5,0.2,0.2857142857142857,5.0
limes,0.75,0.6,0.6666666666666666,5.0
mangos,0.125,0.16666666666666666,0.14285714285714285,6.0
olives,0.2,1.0,0.3333333333333333,4.0
oranges,0.0,0.0,0.0,6.0
passionfruit,1.0,0.75,0.8571428571428571,4.0
peaches,0.0,0.0,0.0,5.0
pears,0.375,1.0,0.5454545454545454,3.0
pineapples,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
plums,0.0,0.0,0.0,6.0
pomegranates,1.0,1.0,1.0,5.0
raspberries,1.0,0.7142857142857143,0.8333333333333334,7.0
strawberries,1.0,1.0,1.0,8.0
tomatoes,0.8571428571428571,0.75,0.8,8.0
watermelons,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
