class,precision,recall,f1-score,support
acerolas,1.0,0.2,0.3333333333333333,5.0
apples,0.5,0.3333333333333333,0.4,3.0
apricots,0.26666666666666666,1.0,0.42105263157894735,4.0
avocados,1.0,1.0,1.0,3.0
bananas,0.75,1.0,0.8571428571428571,3.0
blackberries,0.5,1.0,0.6666666666666666,2.0
blueberries,1.0,0.5,0.6666666666666666,2.0
cantaloupes,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
cherries,1.0,0.5,0.6666666666666666,6.0
coconuts,1.0,0.8,0.8888888888888888,5.0
figs,1.0,0.4,0.5714285714285714,5.0
grapefruits,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
grapes,0.8,0.5714285714285714,0.6666666666666666,7.0
guava,0.2857142857142857,0.6666666666666666,0.4,6.0
kiwifruit,1.0,1.0,1.0,6.0
lemons,0.3333333333333333,0.2,0.25,5.0
limes,0.45454545454545453,1.0,0.625,5.0
mangos,0.4,0.3333333333333333,0.36363636363636365,6.0
olives,1.0,0.25,0.4,4.0
oranges,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
passionfruit,1.0,1.0,1.0,4.0
peaches,0.0,0.0,0.0,5.0
pears,0.3333333333333333,0.6666666666666666,0.4444444444444444,3.0
pineapples,1.0,1.0,1.0,6.0
plums,1.0,0.3333333333333333,0.5,6.0
pomegranates,1.0,1.0,1.0,5.0
raspberries,1.0,1.0,1.0,7.0
strawberries,1.0,1.0,1.0,8.0
tomatoes,0.4444444444444444,0.5,0.47058823529411764,8.0
watermelons,1.0,0.6666666666666666,0.8,6.0
