class,precision,recall,f1-score,support
acerolas,0.42857142857142855,0.6,0.5,5.0
apples,0.0,0.0,0.0,3.0
apricots,0.5714285714285714,1.0,0.7272727272727273,4.0
avocados,0.75,1.0,0.8571428571428571,3.0
bananas,1.0,0.3333333333333333,0.5,3.0
blackberries,0.0,0.0,0.0,2.0
blueberries,1.0,0.5,0.6666666666666666,2.0
cantaloupes,1.0,0.8333333333333334,0.9090909090909091,6.0
cherries,0.8571428571428571,1.0,0.9230769230769231,6.0
coconuts,1.0,1.0,1.0,5.0
figs,1.0,0.8,0.8888888888888888,5.0
grapefruits,1.0,1.0,1.0,6.0
grapes,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
guava,0.8571428571428571,1.0,0.9230769230769231,6.0
kiwifruit,1.0,1.0,1.0,6.0
lemons,0.3333333333333333,0.4,0.36363636363636365,5.0
limes,1.0,0.4,0.5714285714285714,5.0
mangos,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
olives,0.6666666666666666,1.0,0.8,4.0
oranges,0.8,0.6666666666666666,0.7272727272727273,6.0
passionfruit,1.0,1.0,1.0,4.0
peaches,1.0,0.8,0.8888888888888888,5.0
pears,1.0,1.0,1.0,3.0
pineapples,0.8571428571428571,1.0,0.9230769230769231,6.0
plums,1.0,0.3333333333333333,0.5,6.0
pomegranates,1.0,1.0,1.0,5.0
raspberries,0.875,1.0,0.9333333333333333,7.0
strawberries,1.0,0.875,0.9333333333333333,8.0
tomatoes,0.6666666666666666,1.0,0.8,8.0
watermelons,0.8571428571428571,1.0,0.9230769230769231,6.0
