class,precision,recall,f1-score,support
acerolas,0.25,1.0,0.4,5.0
apples,0.0,0.0,0.0,3.0
apricots,0.5,0.5,0.5,4.0
avocados,0.75,1.0,0.8571428571428571,3.0
bananas,1.0,0.3333333333333333,0.5,3.0
blackberries,1.0,0.5,0.6666666666666666,2.0
blueberries,0.5,1.0,0.6666666666666666,2.0
cantaloupes,0.75,0.5,0.6,6.0
cherries,1.0,0.3333333333333333,0.5,6.0
coconuts,0.8333333333333334,1.0,0.9090909090909091,5.0
figs,1.0,0.4,0.5714285714285714,5.0
grapefruits,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
grapes,1.0,0.7142857142857143,0.8333333333333334,7.0
guava,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
kiwifruit,1.0,1.0,1.0,6.0
lemons,0.25,0.2,0.2222222222222222,5.0
limes,0.8333333333333334,1.0,0.9090909090909091,5.0
mangos,0.26666666666666666,0.6666666666666666,0.38095238095238093,6.0
olives,0.375,0.75,0.5,4.0
oranges,0.0,0.0,0.0,6.0
passionfruit,1.0,1.0,1.0,4.0
peaches,0.3333333333333333,0.2,0.25,5.0
pears,0.6,1.0,0.75,3.0
pineapples,0.8571428571428571,1.0,0.9230769230769231,6.0
plums,0.0,0.0,0.0,6.0
pomegranates,0.8333333333333334,1.0,0.9090909090909091,5.0
raspberries,0.7777777777777778,1.0,0.875,7.0
strawberries,1.0,0.875,0.9333333333333333,8.0
tomatoes,0.0,0.0,0.0,8.0
watermelons,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
