class,precision,recall,f1-score,support
acerolas,0.5,0.6,0.5454545454545454,5.0
apples,0.5,0.3333333333333333,0.4,3.0
apricots,0.75,0.75,0.75,4.0
avocados,0.75,1.0,0.8571428571428571,3.0
bananas,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
blackberries,0.6666666666666666,1.0,0.8,2.0
blueberries,1.0,0.5,0.6666666666666666,2.0
cantaloupes,1.0,0.8333333333333334,0.9090909090909091,6.0
cherries,0.8571428571428571,1.0,0.9230769230769231,6.0
coconuts,1.0,1.0,1.0,5.0
figs,1.0,0.8,0.8888888888888888,5.0
grapefruits,1.0,1.0,1.0,6.0
grapes,0.75,0.8571428571428571,0.8,7.0
guava,1.0,1.0,1.0,6.0
kiwifruit,1.0,1.0,1.0,6.0
lemons,0.625,1.0,0.7692307692307693,5.0
limes,1.0,1.0,1.0,5.0
mangos,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
olives,1.0,0.75,0.8571428571428571,4.0
oranges,1.0,0.6666666666666666,0.8,6.0
passionfruit,1.0,1.0,1.0,4.0
peaches,0.75,0.6,0.6666666666666666,5.0
pears,0.6,1.0,0.75,3.0
pineapples,1.0,1.0,1.0,6.0
plums,1.0,0.5,0.6666666666666666,6.0
pomegranates,1.0,1.0,1.0,5.0
raspberries,1.0,1.0,1.0,7.0
strawberries,1.0,1.0,1.0,8.0
tomatoes,0.8888888888888888,1.0,0.9411764705882353,8.0
watermelons,1.0,1.0,1.0,6.0
