epoch,train_loss,val_acc,val_correct,val_total,model_path
1,2.327671,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_1.pt
2,1.258374,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_2.pt
3,0.944503,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_3.pt
4,0.770972,0.028037,3,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_4.pt
5,0.811512,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_5.pt
6,0.601420,0.018692,2,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_6.pt
7,0.699855,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_7.pt
8,0.551155,0.084112,9,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_8.pt
1,2.327671,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_1.pt
2,1.258374,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_2.pt
3,0.944503,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_3.pt
4,0.770972,0.028037,3,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_4.pt
5,0.811512,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_5.pt
6,0.601420,0.018692,2,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_6.pt
7,0.699855,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_7.pt
8,0.551155,0.084112,9,107,E:\Sanjaya\MyProjects\Fruitopia\ml\models\fruit_classifier_epoch_8.pt
1,2.327671,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_1.pt
2,1.258374,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_2.pt
3,0.944503,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_3.pt
4,0.770972,0.028037,3,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_4.pt
5,0.811512,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_5.pt
6,0.601420,0.018692,2,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_6.pt
7,0.699855,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_7.pt
8,0.551155,0.084112,9,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\baseline-8\checkpoints\fruit_classifier_epoch_8.pt
1,2.581578,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_1.pt
2,1.698562,0.018692,2,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_2.pt
3,1.368695,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_3.pt
4,1.138067,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_4.pt
5,1.011254,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_5.pt
6,0.993027,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_6.pt
7,0.892785,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_7.pt
8,0.845935,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-strong-8\checkpoints\fruit_classifier_epoch_8.pt
1,2.505811,0.028037,3,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_1.pt
2,1.347479,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_2.pt
3,1.103139,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_3.pt
4,1.032179,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_4.pt
5,0.750822,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_5.pt
6,0.785434,0.093458,10,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_6.pt
7,0.744321,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_7.pt
8,0.508518,0.093458,10,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\class-weighted-8\checkpoints\fruit_classifier_epoch_8.pt
1,2.812289,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_1.pt
2,2.090312,0.018692,2,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_2.pt
3,1.669516,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_3.pt
4,1.384464,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_4.pt
5,1.202260,0.084112,9,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_5.pt
6,0.989634,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_6.pt
7,0.970368,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_7.pt
8,0.874420,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\aug-weighted-8\checkpoints\fruit_classifier_epoch_8.pt
1,2.327671,0.037383,4,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_1.pt
2,1.243472,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_2.pt
3,0.845460,0.046729,5,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_3.pt
4,0.610577,0.056075,6,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_4.pt
5,0.388287,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_5.pt
6,0.235765,0.065421,7,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_6.pt
7,0.160517,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_7.pt
8,0.116775,0.074766,8,107,E:\Sanjaya\MyProjects\Fruitopia\ml\experiments\20251010_215844\lr-schedule-8\checkpoints\fruit_classifier_epoch_8.pt
